 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 LV J0939-2507            	 093935.0-250735 	10	6.15	7.73	6.99	          	-2.46	22.9	-1.85	-2.04
 KDG058                   	 094027.0+000233 	10	10	7.47	        	-3.04	-4.34	24.8	-0.72	-2.44
 HolmI                    	 094032.3+711111 	10	4.02	8.05	8.05	-1.85	-2.21	25.4	1.31	1.89
 UGC05186                 	 094259.8+331552 	10	8.3	7.61	7.38	-2.69	-4.01	25.4	-0.97	-3.1
 AGC198691                	 094332.4+332658 	10	8	6.15	6.9	-3.41	-3.27	24.1	-1.05	-0.75
 UGC05209                 	 094504.2+321418 	10	10.19	7.88	7.53	-2.44	-2.96	24.2	-1.03	-1.59
 RKK1610                  	 094524.8-480829 	10	9.35	8.27	8.15	          	         	24.2	-1.36	      
 Antlia B                 	 094856.1-255924 	10	1.29	6.09	5.45	          	         	26.2	0.84	-0.56
 KK78                     	 095019.6+312724 	10	7.1	6.92	7.35	-2.88	-3.14	24.3	2.76	-0.8
 DDO064                   	 095022.4+312915 	10	7.11	8.04	8.24	-1.49	-1.67	24.7	1.63	-0.99
 BK3N                     	 095348.5+685809 	10	4.17	6.12	7.29	-3.49	-5.23	24.7	0.96	1.9
 KKSG15                   	 095510.5-061612 	10	9.7	8.24	7.77	-2.31	-2.77	24.1	0.92	1.71
 JKB83                    	 095549.6+691957 	10	3.7	5.35	        	-4.24	-3.52	24.4	5.27	1.91
 KDG61em                  	 095707.5+683554 	10	3.7	5.98	        	-3.79	-3.18	23.5	4.48	1.91
 ClumpI                   	 095721.2+684255 	10	3.6	5.57	        	 <-5.07   	 <-4.88  	24.5	3.23	1.91
 A0952+69                 	 095729.0+691620 	10	3.93	6.87	7.02	-2.96	-3.21	26.5	1.9	1.9
 HolmIX                   	 095732.4+690235 	10	3.85	7.75	8.45	-2.03	-2.84	25.1	2.77	1.89
 AGC718245                	 095816.2+210520 	10	7.35	7.3	6.79	-2.98	         	24.6	-0.88	      
 AGC198712                	 095910.3+360223 	10	7.06	6.6	6.78	-3.22	         	24.2	-1.5	-1.16
 LeoA                     	 095926.4+304447 	10	0.74	6.86	6.97	-3.29	-4.1	25.3	-0.03	1.35
 [CKT2009]d0959+68        	 095933.1+683925 	10	4.27	6.44	        	-3.65	-4.04	25.9	0.72	1.9
 SexB                     	 100000.1+051956 	10	1.43	7.83	7.71	-2.37	-2.88	24.3	-0.88	-0.62
 LV J1000+3032            	 100036.5+303210 	10	7.1	6.76	6.33	-3.39	-3.88	23.9	-1.26	-0.8
 ClumpIII                 	 100040.4+683937 	10	3.6	5.57	        	 <-5.07   	-4.18	23.3	3.07	1.91
 MCG -01-26-009           	 100133.6-063130 	10	9.7	7.85	7.71	-2.32	-2.31	24.9	1.77	1.72
 KKSG17                   	 100138.4-081456 	10	9.7	8.17	7.72	-2.42	-3.11	24.9	2.25	1.71
 GARLAND                  	 100342.0+684136 	10	3.82	6.81	 <7.54  	-2.64	-2.17	28.2	2.95	1.89
 Antlia                   	 100404.0-271955 	10	1.37	6.5	5.95	-3.52	         	26.1	1.75	-0.57
 UGC05423                 	 100530.6+702152 	10	8.87	8.42	7.86	-1.95	-1.85	23	-0.52	-0.44
 SexA                     	 101100.8-044134 	10	1.45	7.57	7.9	-1.92	-2.33	24.2	-0.89	-0.59
 HS117                    	 102125.2+710658 	10	3.96	6.72	5.01	-4.32	-4.82	26.5	1.42	1.9
 LV J1021+0054            	 102138.9+005400 	10	6.78	7.01	7.12	-2.78	         	24.1	-1.53	-2.9
 LeoP                     	 102145.1+180517 	10	1.73	5.89	5.73	          	-4.21	24.4	-1.12	-1.24
 KKSG19                   	 102428.3-122557 	10	6.21	7.24	7.37	 <-4.60   	         	24.4	-1.67	      
 LV J1028+4240            	 102833.0+424008 	10	7.55	7.06	        	-2.67	         	24.4	-1.3	-1.3
 [CKT2009]d1028+70        	 102839.7+701401 	10	3.84	7.01	6.12	-3.21	-3.64	24	1.81	1.9
 LV J1030+0607            	 103044.3+060738 	10	7.8	7.36	7.16	-2.73	-3.22	24.6	-1.06	      
 AGC731457                	 103155.8+280133 	10	10.52	7.62	7.21	-2.32	-2.68	23.2	-0.64	-0.82
 AGC202248                	 103456.1+112932 	10	10.4	7.32	7.18	-2.79	         	23.9	0.7	1.9
 DDO083                   	 103643.3+313248 	10	10.9	8.03	8.56	-1.59	-1.86	25.4	-1.28	-1.26
 AGC208397                	 103858.1+035227 	10	10.2	6.46	7.01	-3.42	         	24.3	-0.4	0.23
 LeG04                    	 103940.2+124406 	10	10.4	6.85	 <6.93  	 <-4.29   	         	25.8	1.86	2.1
 LeG05                    	 103943.3+123804 	10	10.4	7.62	6.31	-3.39	         	24.2	1.25	2.1
 LeG06                    	 103955.7+135428 	10	10.4	7.03	6.85	-3.55	 <-4.31  	25.8	0.81	1.9
 AGC208399                	 104010.7+045432 	10	10.1	6.51	7.41	 <-4.32   	 <-3.41  	26.8	-0.48	-0.59
 [CKT2009]d1041+70        	 104116.8+700903 	10	3.7	5.66	 <5.23  	 <-5.06   	 <-5.07  	25.7	1.71	1.9
 N3344dw1                 	 104244.0+250130 	10	9.82	6.29	        	 <-4.33   	         	25.9	3.74	1.08
 ESO376-016               	 104327.1-370233 	10	6.92	7.82	8.04	          	         	23.2	-0.64	-1.08
 LeG10                    	 104355.4+120807 	10	10.4	6.65	 <7.09  	-4.47	         	23.8	2.43	2.1
 LeG11                    	 104402.1+153520 	10	10.4	6.82	 <7.25  	 <-4.28   	         	25	0.84	1.9
 LeG12                    	 104407.8+113159 	10	10.4	6.94	 <7.41  	-3.51	         	23.7	2.53	2.1
 LeG13                    	 104457.6+115458 	10	10.4	7.35	6.75	-3	 <-3.60  	24	3.08	2.16
 LeG18                    	 104653.3+124440 	10	10.4	6.77	7.15	-4.37	         	27	3.23	2.2
 KK94                     	 104657.3+125954 	10	10.4	7.34	7.69	-4.33	         	24.8	2.31	2.2
 LeG21                    	 104700.8+125735 	10	10.4	6.9	7.09	-4.17	         	24.1	2.75	2.2
 DDO087                   	 104936.5+653150 	10	7.45	8.31	8.24	-2.01	-2.48	24.7	-1.04	      
 LeG22                    	 104937.1+112106 	10	10.4	7.14	        	 <-4.29   	         	25.3	2.3	2.1
 LeG23                    	 105009.1+132901 	10	10.4	6.7	        	-3.69	         	23.9	1.95	2.2
 AGC205540                	 105131.4+140653 	10	10.4	7.14	 <7.53  	-4.65	         	24	1.71	2.14
 LV J1052+3628            	 105205.5+362836 	10	9.2	7.04	        	-2.93	-3.48	24.7	3.38	0.43
 UGC05983                 	 105217.5+363536 	10	9.2	7.8	        	-3.39	         	24.8	4.91	0.43
 LV J1052+3639            	 105240.8+363954 	10	9.2	7.88	        	-2.01	         	25.4	4.67	0.42
 KDG073                   	 105257.1+693245 	10	3.91	6.6	6.56	-3.56	-4.72	26.1	1.19	1.9
 LeG28                    	 105300.7+102245 	10	10.4	7.01	        	 <-4.30   	         	26	1.12	1.9
 LSBC D640-12             	 105557.1+122020 	10	10.4	6.96	6.41	-3.8	         	25.2	1	2.18
 LSBC D640-13             	 105614.0+120037 	10	10.4	7.56	7.63	-2.29	         	24.2	0.99	2.03
 HS1053+3624              	 105640.4+360828 	10	9.2	7.11	7.71	-2.54	         	24.8	1.21	0.42
 ESO215-009               	 105730.2-481044 	10	5.47	7.78	8.85	-2.69	         	25.6	-1.37	      
 VV747                    	 105747.0+361539 	10	9.2	8.02	        	-1.85	         	24.2	0.92	0.41
 LeG33                    	 110045.2+141020 	10	10.4	6.88	        	-4.64	         	24.8	1.09	1.97
 CGCG 066-109             	 110426.5+114518 	10	10.3	7.82	7.64	-2.24	-2.45	24.8	0.17	2.13
 KKSG20                   	 110440.6+000330 	10	10.7	7.37	6.18	-3.88	         	24.6	3.89	1.85
 UGC06145                 	 110535.0-015149 	10	10.7	7.83	7.97	-2.35	 <-3.07  	25.6	1.52	1.84
 KKSG22                   	 110607.7-012655 	10	10.7	7.11	 <7.11  	 <-4.21   	         	25.2	1.86	1.84
 AGC202256                	 111445.0+123851 	10	11	7.69	7.25	-2.74	         	23.2	1.55	1.19
 IC2684                   	 111701.0+130559 	10	10.3	7.87	7.16	-2.83	         	24.2	0.64	1.77
 UGC06456                 	 112800.6+785929 	10	4.63	7.66	7.82	-1.89	-1.79	23.6	-0.31	0.4
 AGC213091                	 112934.6+104835 	10	8.22	6.75	 <6.96  	-4.02	         	25.7	0.86	1.57
 KKH68                    	 113053.3+140846 	10	8.5	7.06	7.52	-2.85	         	25.3	0.89	1.87
 HIPASS J1131-31          	 113135.2-314020 	10	6.7	7.22	7.33	          	         	25.4	0.72	1.09
 HIPASS J1133-32          	 113311.0-325743 	10	5.6	7.34	7.32	          	         	23.3	-0.73	-1.3
 UGC06541                 	 113329.1+491417 	10	4.23	7.83	7.04	-2.11	-1.98	24.2	-0.64	0.47
 KKH69                    	 113453.3+110112 	10	7.4	6.99	7.31	-2.77	         	25.3	-0.23	-2.22
 ESO320-014               	 113753.4-391314 	10	6	7.73	7.32	-2.7	         	24.8	-0.68	-1.6
 [KK98] 108               	 114003.6+462843 	10	8	7.01	        	-4.1	         	25.7	-0.01	1.74
 UGC06757                 	 114659.1+612006 	10	4.61	7.12	        	-3.02	         	25	-0.41	0.48
 KK109                    	 114711.2+434019 	10	4.51	6.35	6.54	-4.12	-5.39	24.9	-0.32	1.41
 KKH73                    	 115006.4+554700 	10	9	7.26	6.98	 <-4.48   	 <-4.23  	25.1	-0.76	-1.18
 DDO099                   	 115053.0+385250 	10	2.65	7.42	7.75	-2.28	-2.64	25.3	-0.62	-0.14
 Grapes                   	 115205.6+544732 	10	5.58	6.36	        	          	-5.22	24.2	-0.73	0.52
 AGC215145                	 115412.5+122606 	10	8.2	6.52	7.38	 <-4.52   	         	26.1	-0.38	0.27
 ESO379-007               	 115443.0-333329 	10	5.45	7.35	7.54	          	-3.62	24.9	-1.04	-1.3
 KDG81                    	 115514.3+440900 	10	9.66	7.8	7.33	-2.57	         	24.4	0.14	1.24
 LV J1157+56sat           	 115752.9+563650 	10	8.95	5.86	        	-4.44	 <-3.38  	24.9	-0.89	-1.09
 LV J1157+5638            	 115754.2+563817 	10	8.75	7.33	        	-2.67	 >-2.15  	24.1	-0.8	-1.38
 LV J1158+1535            	 115840.4+153534 	10	6.27	6.66	 <6.97  	-3.72	         	24.2	-1.27	-1.57
 BTS76                    	 115844.1+273506 	10	5.57	6.82	        	-3.88	-3.68	24.8	-1.17	-1.35
 LV J1203+4739            	 120300.0+473915 	10	7.49	7.15	        	-2.84	         	25.6	1.17	1.75
 ESO379-024               	 120456.7-354435 	10	4.88	7.13	7.28	          	         	24.4	-0.79	-1.05
 [KK98] 125               	 121241.9+685538 	10	8	7.13	        	-4.17	         	25.6	-1.45	-0.21
 ESO321-014               	 121349.6-381353 	10	3.33	7.29	7.25	-2.74	-3.06	24.3	0	1.86
 UGC07242                 	 121407.4+660532 	10	5.45	7.92	7.69	-2.17	-2.75	23.6	-0.4	0.47
 VCC0114                  	 121435.2+054038 	10	8.2	7.64	7.53	-2.78	         	23.6	0.33	0.8
 MCG +09-20-131           	 121546.7+522315 	10	4.61	7.5	7.37	-2.53	-3.84	23.9	-0.43	0.61
 LV J1215+4732            	 121551.1+473256 	10	7.66	6.44	        	 <-4.61   	         	25.8	3.29	1.76
 VCC0169                  	 121556.2+093857 	10	9.4	7.15	8.04	-3.69	         	25.9	0.03	1.41
 UGC07298                 	 121628.6+521338 	10	4.19	7.24	7.27	-2.88	-4.25	24.1	-0.35	1.37
 LV J1217+4703            	 121710.1+470349 	10	7.66	6.65	 <6.42  	-4.9	 <-4.61  	24.5	3.81	1.76
 UGC07320                 	 121728.5+444841 	10	9.2	8.04	7.54	-2.61	         	24.3	-0.2	1.33
 KKH78                    	 121744.5+332043 	10	4.7	6.54	        	-4.95	 <-4.96  	24.5	0.94	1.47
 KK133                    	 121932.8+432311 	10	8.23	7.03	6.88	-3.11	         	24.6	0.26	1.85
 KK135                    	 121934.7+580234 	10	4.46	6.32	5.79	-3.36	         	25.8	-0.58	0.48
 VCC0381                  	 121954.1+063957 	10	8.51	7.45	7.66	-2.82	         	24.7	1.05	1.15
 KDG104                   	 122127.9+150128 	10	9.4	7.5	7.06	-3.38	         	25	0.44	1.75
 KDG105                   	 122143.0+375914 	10	7.6	7.37	7.35	-3.3	         	24.8	-0.32	1.34
 UGC7427                  	 122155.0+350305 	10	9.7	7.89	7.76	          	-2.17	24.6	0.05	1.41
 KK138                    	 122158.4+281434 	10	6.3	6.41	 <6.25  	 <-4.75   	 <-4.66  	25.3	-0.78	-0.82
 GR34                     	 122207.6+154757 	10	9.29	7.85	6.97	-2.82	-3.45	24.3	0.29	1.69
 VCC0565                  	 122238.5+060052 	10	9.6	7.91	7.06	-2.85	         	23.2	-0.34	1.34
 KK141                    	 122252.7+334943 	10	7.78	7.05	7.2	-2.67	-2.82	24.1	-0.02	1.33
 BTS133                   	 122407.6+375935 	10	8.99	7.05	7.51	-2.71	         	24.8	-0.03	1.11
 PGC5059199               	 122409.9+261352 	10	3.37	5.44	6.25	          	         	23.6	-0.7	-0.15
 KK144                    	 122527.9+282857 	10	6.15	7.27	7.86	-2.47	-3.26	25.3	-0.87	0.39
 UGCA281                  	 122616.0+482931 	10	5.7	7.82	7.77	-1.78	-1.29	23.8	-0.92	-0.17
 DDO126                   	 122705.1+370833 	10	4.97	8.09	8.03	-1.85	-2.06	25	-0.02	1.47
 KKH80                    	 122805.4+221727 	10	7.43	7.31	7.08	-2.72	-4.08	25	-0.7	0.31
 DDO127                   	 122828.5+371400 	10	4.72	7.64	7.67	-2.29	-3.3	24.6	0.36	1.47
 UGC07596                 	 122833.9+083823 	10	4.6	7.65	6.26	-3.21	         	24.4	-0.68	-1.32
 UGC07605                 	 122839.0+354305 	10	4.74	7.71	7.38	-2.18	-2.56	24.2	0.69	1.48
 KK149                    	 122852.3+421040 	10	8.51	8.15	7.73	-2.26	-2.53	23.4	0.48	1.36
 UGC07636                 	 123001.0+075546 	10	5.2	7.76	6.17	-3.35	         	23.2	-1	-1.39
 AGC229379                	 123034.0+231220 	10	10.4	6.83	6.99	-3.92	         	24.4	-0.88	0.07
 AGC724906                	 123056.0+263040 	10	7.55	7.09	7.02	-3.18	         	23.9	-0.29	1.34
 MAPS1231+42              	 123109.0+420539 	10	8.91	7.06	6.59	-3.01	         	24	2.75	1.18
 DDO131                   	 123158.6+294235 	10	8.1	7.99	8.06	-1.94	-2.1	24.1	-0.32	1.57
 DDO133                   	 123253.0+313221 	10	4.88	8.24	8.25	-1.73	         	24.8	0.38	1.43
 BTS142                   	 123307.4+380658 	10	10	6.9	7.15	-3.27	         	24.6	-0.71	-0.19
 KDG155                   	 123308.0-003159 	10	8.11	7.55	7.65	-3.52	         	25.4	1.04	1.1
 KK152                    	 123324.9+332105 	10	6.9	7.44	7.54	-2.48	-3.02	25	0.41	1.29
 LV J1235-1104            	 123539.4-110402 	10	10	8.04	7.44	-1.8	         	22.4	1.27	2.07
 KKSG29                   	 123714.1-102951 	10	7.7	7.46	7.01	-2.91	         	25.8	-0.45	-0.29
 Arp211                   	 123721.3+384443 	10	6.14	7.56	7.29	-1.98	-2.61	23.9	-0.86	0.48
 KKSG30                   	 123735.9-085202 	10	9.1	7.71	7.29	-2.8	         	24.5	0.93	2.07
 UGCA292                  	 123840.0+324600 	10	3.85	6.79	7.49	-2.53	-2.48	24.7	-0.16	1.44
 UGC07827                 	 123938.9+444915 	10	8.5	7.76	8.09	-2.08	-1.87	25	-0.1	1.36
 AGC749241                	 124001.7+261919 	10	5.62	6.46	6.75	-3.54	         	24.5	-0.73	0.4
 BTS146                   	 124002.1+380002 	10	8.5	7.14	6.97	-3.44	-4.62	23.7	-0.29	1.17
 KDG178                   	 124010.0+323931 	10	7.3	7.16	7.69	-2.64	         	25.9	2.97	1.29
 VCC1822                  	 124010.4+065049 	10	8.1	7.54	7.07	          	         	24.5	-0.7	1.3
 PGC4074723               	 124029.9+472204 	10	4.08	6.23	        	-3.74	         	24.7	0.31	1.41
 NGC 4631dw1              	 124057.0+324733 	10	7.4	7.3	        	-4.23	         	27.1	2.97	1.29
 LV J1241+3251            	 124147.3+325128 	10	7.3	7.45	7.2	-2.44	         	24.4	3.17	1.29
 NGC 4631dw2              	 124206.8+323715 	10	7.4	6.62	        	-4.48	         	26.9	3.29	1.29
 IC3687                   	 124215.1+383007 	10	4.57	8.19	7.9	-1.75	-1.89	25.9	1.2	1.48
 PGC42772                 	 124307.1+322927 	10	8.02	7.6	7.23	-2.32	         	23.1	0.05	1.3
 dw1243-42b               	 124311.0-422637 	10	3.6	6.26	 <6.64  	 <-5.13   	         	23.4	4.38	1.88
 KDG192                   	 124345.0+535732 	10	7.45	7.38	7.88	-2.42	-2.65	25.3	-0.09	-0.61
 LV J1243+4127            	 124355.7+412725 	10	6.09	6.97	7.02	-3.33	-4.55	26.4	-0.8	-0.19
 KK160                    	 124357.4+433941 	10	4.33	6.6	6.6	-4.43	-4.88	24.8	1.51	1.44
 NGC4656UV                	 124415.7+321700 	10	5.4	8.54	7.27	-1.11	         	25.4	4.37	0.63
 [KK2000] 51              	 124421.5-425623 	10	3.6	6.6	 <6.32  	 <-5.01   	         	24.4	0.87	1.88
 DDO143                   	 124425.1+342311 	10	9.1	7.8	8.43	-1.6	-1.63	26.2	-0.54	0.16
 ESO381-018               	 124442.7-355800 	10	5.45	7.39	7.41	          	         	23.7	-0.4	-0.94
 ESO381-020               	 124600.4-335017 	10	5.47	7.95	8.37	-1.77	-1.75	25.1	-0.33	-0.68
 VCC2037                  	 124615.3+101212 	10	9.64	7.94	6.9	-2.33	         	24.7	-0.47	1.41
 DDO147                   	 124659.8+362835 	10	3.01	7.19	7.47	-2.64	-3.31	24.5	-0.6	-0.1
 NGC4707                  	 124822.9+510953 	10	6.52	8.25	8.05	-1.61	-1.9	23.6	-0.45	0.06
 SDSS J124936.90+215505.7 	 124936.9+215505 	10	7.35	7.05	7.22	-2.9	         	24.2	-0.89	-0.13
 UGC07983                 	 124947.0+035032 	10	9.4	7.79	8.02	-2.35	         	24.3	-0.49	1.05
 BTS157                   	 125113.3+470415 	10	9.04	7.22	6.98	-3.68	         	24.6	-0.03	0.54
 KK167                    	 125144.4+260638 	10	9.2	7.64	7.68	-2.25	         	24.6	-0.28	1.21
 IC3840                   	 125146.1+214407 	10	5.5	7.04	7.21	-2.69	-3.1	25.3	-0.6	-1.26
 KKSG38                   	 125331.6-055540 	10	10.4	7.55	7.36	-2.26	         	25.2	-0.11	0.36
 KKSG39                   	 125341.9-060502 	10	6.8	6.57	7.08	-4.21	         	26.5	-1.03	-0.36
 DDO154                   	 125405.2+270855 	10	4.04	7.59	8.28	-1.91	-2.52	24.3	0.31	1.33
 ESO443-009               	 125453.6-282027 	10	5.97	7.11	7.16	-2.8	         	24.7	-0.53	-1.05
 KDG215                   	 125540.5+191233 	10	4.83	6.9	7.38	-3.33	 <-4.80  	25.8	0.51	1.24
 GR8                      	 125840.4+141303 	10	2.19	6.84	6.92	-2.62	-2.67	24.5	-1.43	-2.05
 HIPASS J1258-04          	 125849.6-045319 	10	6.5	7.82	7.67	-2.24	         	23.4	-1.18	-2.53
 KK176                    	 125956.3-192447 	10	6.9	7.39	7.76	-2.95	         	25.8	-1.05	-0.26
 PGC1059300               	 130000.3-042138 	10	5.26	7.01	        	-2.92	         	25.1	-1.24	-1.54
 UGCA319                  	 130214.4-171415 	10	7.3	8.22	7.97	-2.08	-3.1	23.9	2.15	-0.03
 dw1303+42                	 130314.0+422217 	10	9.04	6.88	        	-3.63	         	24.7	1.32	1.83
 ESO269-037               	 130333.6-463503 	10	3.15	6.96	5.51	-3.71	-4.4	25	1.03	1.88
 KK182                    	 130502.9-400458 	10	5.94	7.49	7.65	-2.56	-3.26	24.5	-0.67	-1.17
 dw1305+41                	 130529.0+415324 	10	9.04	7.28	        	-3.91	         	23.9	1.59	1.75
 dw1305+38                	 130558.0+380543 	10	9.04	7.03	        	-3.86	         	24	0.52	1.75
 UGC08215                 	 130803.6+464941 	10	4.57	7.18	7.28	-2.95	-3.46	24.3	0.42	1.39
 MCG -04-31-038           	 130936.6-270826 	10	7.8	8.79	7.98	-1.9	         	23.6	-1.12	      
 KKH82                    	 131258.7+414712 	10	8.06	7.53	        	-3.55	         	25.3	0.06	2.12
 dw1313+46                	 131302.0+463608 	10	8.4	6.98	        	-3.05	         	23.5	1.1	2.11
 DDO167                   	 131322.8+461911 	10	4.25	7.19	7.2	-2.49	-2.87	24.2	1.61	1.41
 KK191                    	 131339.7+420239 	10	8.28	6.83	 <6.49  	-4.68	 <-4.46  	24.9	0.39	2.04
 DDO168                   	 131428.6+455510 	10	4.25	8.13	8.33	-1.77	-2.13	24.4	0.68	1.41
 DDO169NW                 	 131519.2+473218 	10	4.33	6.34	7	-2.99	-3.58	26	0.27	1.39
 DDO169                   	 131530.7+472947 	10	4.41	7.73	7.75	-2.22	-2.7	25.3	0.28	1.39
 KK193                    	 131531.2+413005 	10	9.04	6.71	        	-4.96	         	26	3.27	1.75
 dw1315-45                	 131556.0-454502 	10	3.6	6.02	 <6.64  	 <-5.04   	         	24.6	1.89	1.88
 KK194                    	 131719.5+442348 	10	9.04	7.15	        	-3.85	         	25.1	1.31	2.04
 AGC239141                	 131740.8+352759 	10	4.92	6.25	6.46	-3.6	         	24.6	-0.13	1.4
 AGC732602                	 132104.8+240836 	10	8.2	7.26	7.11	-2.7	         	24.6	-1.23	      
 KK195                    	 132108.2-313147 	10	5.22	6.96	7.56	-3.15	 <-5.13  	24.8	0.88	1.62
 [KK2000] 54              	 132132.4-315311 	10	4.9	6.5	 <5.83  	 <-4.82   	 <-5.18  	25.7	1.33	1.62
 KK196                    	 132147.1-450348 	10	3.96	7.14	 <6.29  	-3.35	         	24.3	1.43	1.87
 dw1322-39                	 132232.0-395420 	10	3.6	6.29	 <6.64  	 <-5.08   	         	25.6	1.92	1.88
 KK200                    	 132436.0-305820 	10	4.76	7.31	6.86	-3.09	-4.26	24.4	1.56	1.62
 dw1326-35                	 132644.0-350500 	10	4.9	6.14	 <6.75  	 <-4.83   	         	25.1	0.84	1.62
 IC4247                   	 132644.4-302145 	10	5.18	8.25	7.59	-2.18	-2.78	23.9	1.29	1.65
 KK203                    	 132728.1-452109 	10	3.77	6.5	 <6.36  	 <-4.93   	         	24.6	2.19	1.88
 LV J1328+4937            	 132831.2+493738 	10	8.4	7.2	        	-2.54	         	24.1	1.37	1.87
 UGC08508                 	 133044.4+545436 	10	2.67	7.54	7.29	          	-2.66	24.3	-0.8	-0.88
 dw1330-32                	 133054.0-321821 	10	4.9	6.04	 <6.75  	 <-4.87   	         	25.1	1.77	1.62
 NGC5238                  	 133442.7+513650 	10	4.51	8.02	7.42	-1.99	-1.96	23.7	-0.41	-0.27
 UGCA365                  	 133630.8-291411 	10	5.42	7.73	7.29	-2.77	-4.42	24.9	0.73	1.65
 dw1336-44                	 133644.0-442650 	10	3.6	5.53	 <6.64  	 <-5.00   	         	25.5	2.17	1.88
 MCG +08-25-028           	 133644.8+443557 	10	8.4	7.77	        	-2.47	-2.45	24.3	1.12	2.11
 HIDEEP J1337-33          	 133700.6-332147 	10	4.55	6.73	6.71	-3.52	 <-4.81  	22.3	0.93	1.65
 dw1337-33                	 133702.0-333125 	10	4.9	6.52	 <6.75  	 <-4.88   	         	26.2	1.41	1.62
 ESO444-084               	 133720.2-280246 	10	4.61	7.61	7.9	-2.28	-2.53	24.2	1.37	1.62
 HIPASS J1337-39          	 133725.1-395352 	10	5.08	7.21	7.6	-2.69	 <-4.69  	23.5	0.04	1.62
 UGC08638                 	 133919.4+244633 	10	4.29	7.97	7.08	-2.26	-2.42	24.1	-0.16	1.24
 DDO181                   	 133953.8+404421 	10	3.1	7.56	7.36	-2.47	-2.61	24.7	-0.87	-0.09
 IC4316                   	 134018.1-285340 	10	4.35	8.21	7.04	-2.38	-2.63	24.6	0.65	1.65
 dw1340+45                	 134037.0+454154 	10	8.4	6.74	        	-2.93	         	23.7	1.37	1.87
 DDO182                   	 134232.6+393930 	10	8.9	7.89	8.03	-1.72	-2.11	24.9	0.2	1.75
 ESO325-011               	 134500.8-415132 	10	3.4	7.86	7.87	          	-1.88	24.9	1.25	1.88
 ESO174-001               	 134757.7-532104 	10	3.6	7.9	8.17	          	         	23.6	0.63	1.85
 HIPASS J1348-37          	 134833.9-375803 	10	5.65	6.87	7.28	          	         	24.4	-0.21	-0.36
 KK221                    	 134846.4-465949 	10	3.82	6.74	 <6.38  	          	         	26.5	1.13	1.87
 DDO183                   	 135051.1+380116 	10	3.31	7.54	7.33	-2.52	-3.12	24.8	-0.79	-1.04
 HIPASS J1351-47          	 135122.0-470000 	10	5.73	7.01	7.42	          	         	24.5	-0.87	-0.52
 KKH86                    	 135433.6+041435 	10	2.61	6.51	5.92	-4.17	-6.04	25.1	-1.38	-1.99
 UGC08833                 	 135448.7+355015 	10	3.25	7.41	7.05	-2.85	-3.34	24.2	-0.89	-1.02
 M101-df1                 	 140345.0+535640 	10	6.37	6.17	        	-5.27	         	26.2	0.53	1.56
 PGC2448110               	 140457.8+534129 	10	5.38	6.8	        	-3.05	         	22.7	-0.76	0.05
 KK230                    	 140710.7+350337 	10	2.21	6.18	6.35	-3.78	-5.47	25.5	-1.34	-0.8
 dw1410-34                	 141047.0-345207 	10	4.9	6.54	 <6.91  	 <-4.86   	         	25.3	0.28	1.62
 KKH87                    	 141509.4+570515 	10	8.87	7.73	7.97	-2.24	-2.54	24.9	-0.81	-1.59
 dw1415-32                	 141541.0-323421 	10	4.9	6.08	 <6.91  	 <-4.86   	         	25	0.28	1.62
 DDO187                   	 141556.5+230319 	10	2.3	7.06	7.1	-2.98	-3.97	24.1	-1.49	-2.19
 PGC051659                	 142803.7-461806 	10	3.61	7.51	7.78	          	-3.59	24.8	0.32	1.87
 Centaurus A-dE5          	 143005.0-332845 	10	9	6.92	 <6.16  	 <-4.26   	 <-4.64  	25.4	-1.83	      
 ESO222-010               	 143503.0-492518 	10	5.8	7.69	7.78	          	-2.37	22.5	-1.17	-0.05
 ESO272-025               	 144325.5-444219 	10	5.88	7.97	7.09	          	-2.28	24	-1.07	0.03
 UGC09540                 	 144852.0+344243 	10	9.3	7.52	7.99	-2.1	         	24.7	-1.45	-1.62
 ESO223-009               	 150108.5-481733 	10	6.31	9.17	8.79	          	-1	23.9	-1.42	-1.1
 HIPASS J1526-51          	 152622.9-511031 	10	6.28	       	7.64	          	         	      	-1.01	-0.08
 HIZOA J1616-55           	 161723.5-554357 	10	9.88	7.18	8.02	          	         	24.7	-1.8	-0.32
 KDG235                   	 170025.3+701724 	10	10.6	7.64	7.87	-2.48	-2.74	25.9	-1.38	-0.46
 NGC6503-d1               	 175248.4+700814 	10	6.25	6.44	 <6.16  	-4.09	-3.01	25.7	3.56	0.75
 ESO104-022               	 185541.2-644839 	10	8.95	8.05	8.53	-2.06	-1.77	24.9	1.08	1.77
 [KK2000] 70              	 190658.9-635757 	10	9.5	7.21	        	-4.52	         	24.9	3.75	1.78
 [KK2000] 71              	 190844.0-634353 	10	9.5	8.24	        	-1.51	         	24.8	4.57	1.77
 ESO104-044               	 191123.1-641309 	10	9.73	8.31	8.47	-2.15	-2.61	24.7	1.85	1.66
 [KK2000] 72              	 191222.9-635122 	10	9.5	7.12	        	-2.97	         	25.1	3.9	1.78
 Sag dIr                  	 192959.0-174041 	10	1.08	6.55	6.97	-3.11	-4.04	24.7	-0.5	-0.85
 NGC6822                  	 194457.7-144811 	10	0.52	8.38	8.19	-1.78	-1.9	23.7	0.46	1.73
